"StudySite","Operation","CommName","Count","RAI"
"D05",14,"Oribi",0,0
"D07",0,"Oribi",1,NA
"D09",0,"Oribi",0,NA
"E02",14,"Oribi",58,4.14285714285714
"E04",14,"Oribi",4,0.285714285714286
"E06",14,"Oribi",1,0.0714285714285714
"E08",14,"Oribi",0,0
"E10",14,"Oribi",1,0.0714285714285714
"E12",14,"Oribi",0,0
"F01",14,"Oribi",10,0.714285714285714
"F03",14,"Oribi",1,0.0714285714285714
"F05",0,"Oribi",0,NA
"F07",14,"Oribi",4,0.285714285714286
"F09",14,"Oribi",0,0
"F11",14,"Oribi",2,0.142857142857143
"G02",14,"Oribi",6,0.428571428571429
"G04",14,"Oribi",1,0.0714285714285714
"G06",14,"Oribi",1,0.0714285714285714
"G08",14,"Oribi",0,0
"G10",14,"Oribi",0,0
"G12",14,"Oribi",0,0
"H03",14,"Oribi",1,0.0714285714285714
"H05",14,"Oribi",1,0.0714285714285714
"H07",14,"Oribi",0,0
"H09",14,"Oribi",1,0.0714285714285714
"H11",14,"Oribi",0,0
"H13",14,"Oribi",0,0
"I04",14,"Oribi",8,0.571428571428571
"I06",14,"Oribi",1,0.0714285714285714
"I08",14,"Oribi",1,0.0714285714285714
"I10",14,"Oribi",5,0.357142857142857
"I12",14,"Oribi",0,0
"I14",14,"Oribi",1,0.0714285714285714
"J03",14,"Oribi",0,0
"J05",14,"Oribi",0,0
"J07",14,"Oribi",5,0.357142857142857
"J09",14,"Oribi",0,0
"J11",14,"Oribi",0,0
"J13",14,"Oribi",3,0.214285714285714
"K04",0,"Oribi",0,NA
"K06",14,"Oribi",0,0
"K08",14,"Oribi",1,0.0714285714285714
"K10",14,"Oribi",0,0
"K12",14,"Oribi",0,0
"L05",14,"Oribi",3,0.214285714285714
"L07",14,"Oribi",0,0
"L09",14,"Oribi",2,0.142857142857143
"L11",14,"Oribi",0,0
"L13",14,"Oribi",0,0
"M08",14,"Oribi",2,0.142857142857143
"M10",14,"Oribi",1,0.0714285714285714
"A06",14,"Reedbuck",1,0.0714285714285714
"A08",14,"Reedbuck",0,0
"A10",14,"Reedbuck",0,0
"B05",14,"Reedbuck",3,0.214285714285714
"B07",14,"Reedbuck",1,0.0714285714285714
"B09",14,"Reedbuck",0,0
"C06",14,"Reedbuck",7,0.5
"C08",14,"Reedbuck",0,0
"D03",14,"Reedbuck",0,0
"D05",14,"Reedbuck",1,0.0714285714285714
"D07",0,"Reedbuck",0,NA
"D09",0,"Reedbuck",0,NA
"E02",14,"Reedbuck",10,0.714285714285714
"E04",14,"Reedbuck",0,0
"E06",14,"Reedbuck",0,0
"E08",14,"Reedbuck",0,0
"E10",14,"Reedbuck",4,0.285714285714286
